index,COUNTRY,SALES,Longitude,Latitude
0,Australia,630623.1,134.755,-24.7761086
1,Austria,202062.53,13.2,47.2
2,Belgium,108412.62,4.6667145,50.6402809
3,Canada,224078.56,-107.991707,61.0666922
4,Denmark,245637.15,10.3333283,55.670249
5,Finland,329581.91,25.9209164,63.2467777
6,France,1110916.52,1.8883335,46.603354
7,Germany,220472.09,10.4234469,51.0834196
8,Ireland,57756.43,-7.9794599,52.865196
9,Italy,374674.31,12.674297,42.6384261
10,Japan,188167.81,139.2394179,36.5748441
11,Norway,307463.7,9.0999715,60.5000209
12,Philippines,94015.73,122.7312101,12.7503486
13,Singapore,288488.41,103.8194992,1.357107
14,Spain,1215686.92,-4.8379791,39.3260685
15,Sweden,210014.21,14.5208584,59.6749712
16,Switzerland,117713.56,8.2319736,46.7985624
17,UK,478880.46,-3.2765753,54.7023545
18,USA,3627982.83,-100.445882,39.7837304
